,computed_x,computed_y,distance_error,x,y,configuration
22,7.300000000000001,5.800000000000001,3.3717889910253884,5.444,2.985,3 mean
23,5.800000000000001,5.5,1.3681290143842428,5.444,4.179,3 mean
24,7.0,5.7,1.5899889936725977,5.444,5.373,3 mean
25,6.6000000000000005,0.7000000000000001,0.11619401715117869,6.65377778,0.597,3 mean
26,6.1000000000000005,1.6,0.5857907729059312,6.65377778,1.791,3 mean
27,9.0,4.3,2.689606607967367,6.65377778,2.985,3 mean
28,5.300000000000001,4.1000000000000005,1.3560808521698577,6.65377778,4.179,3 mean
29,6.9,5.300000000000001,0.2568158515779902,6.65377778,5.373,3 mean
30,7.2,0.2,0.7732496241233573,7.86355556,0.597,3 mean
31,6.9,1.5,1.0065387807764352,7.86355556,1.791,3 mean
32,7.7,2.2,0.8018574818550446,7.86355556,2.985,3 mean
33,7.7,3.2,0.992568093989986,7.86355556,4.179,3 mean
34,6.6000000000000005,2.9000000000000004,2.777103104533015,7.86355556,5.373,3 mean
35,2.9000000000000004,0.0,6.202132972074114,9.07333333,0.597,3 mean
36,7.5,0.8,1.8594243107179411,9.07333333,1.791,3 mean
37,10.9,0.0,3.499562275955221,9.07333333,2.985,3 mean
38,8.1,3.5,1.1867682045323305,9.07333333,4.179,3 mean
39,10.100000000000001,1.7000000000000002,3.8137872844836127,9.07333333,5.373,3 mean
40,10.9,0.0,0.8584642698478676,10.28311111,0.597,3 mean
41,8.200000000000001,0.0,2.747186360006439,10.28311111,1.791,3 mean
42,7.9,0.0,3.819613012152596,10.28311111,2.985,3 mean
43,6.300000000000001,2.1,4.493040742593531,10.28311111,4.179,3 mean
44,10.9,4.0,1.505217892069262,10.28311111,5.373,3 mean
0,0.9,0.30000000000000004,0.41868791151098694,0.60488889,0.597,4 mean
1,2.7,5.2,4.001346218867524,0.60488889,1.791,4 mean
2,0.7000000000000001,3.2,0.2350981140831041,0.60488889,2.985,4 mean
3,1.6,3.5,1.204693787335783,0.60488889,4.179,4 mean
4,0.8,0.9,4.477253326007523,0.60488889,5.373,4 mean
5,1.4000000000000001,3.5,2.932466103335022,1.81466667,0.597,4 mean
6,1.6,2.8000000000000003,1.0315826574777658,1.81466667,1.791,4 mean
7,2.1,5.800000000000001,2.8294239889434905,1.81466667,2.985,4 mean
8,2.4000000000000004,3.3000000000000003,1.0560568674123991,1.81466667,4.179,4 mean
9,2.8000000000000003,4.4,1.3847782390003422,1.81466667,5.373,4 mean
10,4.4,5.4,4.9960946847159455,3.02444444,0.597,4 mean
11,2.2,4.0,2.3578357946741995,3.02444444,1.791,4 mean
12,0.0,0.0,4.2494104497738165,3.02444444,2.985,4 mean
13,3.3000000000000003,4.800000000000001,0.6793908055360437,3.02444444,4.179,4 mean
14,2.8000000000000003,5.800000000000001,0.4823943476523267,3.02444444,5.373,4 mean
15,2.6,3.7,3.507034539941363,4.23422222,0.597,4 mean
16,2.7,4.6000000000000005,3.200674744540865,4.23422222,1.791,4 mean
17,5.4,2.8000000000000003,1.1803655503028407,4.23422222,2.985,4 mean
18,4.3,4.3,0.1377233325973788,4.23422222,4.179,4 mean
19,3.2,3.3000000000000003,2.3166667003135624,4.23422222,5.373,4 mean
20,4.7,0.30000000000000004,0.8010898825974522,5.444,0.597,4 mean
21,2.9000000000000004,2.4000000000000004,2.615877864121335,5.444,1.791,4 mean
22,7.800000000000001,0.1,3.7247766375985556,5.444,2.985,4 mean
23,7.4,4.3,1.9597390132362016,5.444,4.179,4 mean
24,2.7,0.0,6.033130613537221,5.444,5.373,4 mean
25,6.5,1.7000000000000002,1.1136680859312298,6.65377778,0.597,4 mean
26,7.2,1.1,0.880817639254419,6.65377778,1.791,4 mean
27,7.300000000000001,1.7000000000000002,1.4383421559634995,6.65377778,2.985,4 mean
28,6.9,3.9000000000000004,0.3721107115116794,6.65377778,4.179,4 mean
29,2.3000000000000003,0.0,6.9155267303092485,6.65377778,5.373,4 mean
30,7.6000000000000005,1.7000000000000002,1.1340504985259314,7.86355556,0.597,4 mean
31,8.700000000000001,2.0,0.8621602526252967,7.86355556,1.791,4 mean
32,8.0,0.7000000000000001,2.289070135493212,7.86355556,2.985,4 mean
33,6.2,0.2,4.312755279540784,7.86355556,4.179,4 mean
34,9.200000000000001,2.3000000000000003,3.351031593585312,7.86355556,5.373,4 mean
35,8.200000000000001,1.8,1.4865800029897107,9.07333333,0.597,4 mean
36,8.9,0.7000000000000001,1.10468341315007,9.07333333,1.791,4 mean
37,9.600000000000001,2.6,0.652382388855562,9.07333333,2.985,4 mean
38,7.1000000000000005,4.0,1.9814351948244204,9.07333333,4.179,4 mean
39,9.200000000000001,5.800000000000001,0.44539133948572623,9.07333333,5.373,4 mean
40,10.8,2.3000000000000003,1.779714337922082,10.28311111,0.597,4 mean
41,10.0,2.7,0.9520676974907996,10.28311111,1.791,4 mean
42,10.100000000000001,2.7,0.33875459938638686,10.28311111,2.985,4 mean
43,9.3,2.8000000000000003,1.6935608801001016,10.28311111,4.179,4 mean
44,7.5,5.800000000000001,2.8156769080641038,10.28311111,5.373,4 mean
0,1.9000000000000001,5.6000000000000005,5.1679127108771326,0.60488889,0.597,5 mean
1,2.0,4.3,2.870786653383604,0.60488889,1.791,5 mean
2,0.5,3.2,0.23922098412437032,0.60488889,2.985,5 mean
3,1.7000000000000002,3.9000000000000004,1.130092625958347,0.60488889,4.179,5 mean
4,9.200000000000001,5.800000000000001,8.605711126527861,0.60488889,5.373,5 mean
5,1.5,3.8000000000000003,3.2184195054729723,1.81466667,0.597,5 mean
6,1.1,3.1,1.491385077439388,1.81466667,1.791,5 mean
7,0.0,4.800000000000001,2.566561926626531,1.81466667,2.985,5 mean
8,3.5,0.30000000000000004,4.2293012937374055,1.81466667,4.179,5 mean
9,2.0,3.7,1.6832342211376552,1.81466667,5.373,5 mean
10,2.7,1.3,0.7742565431734585,3.02444444,0.597,5 mean
11,2.4000000000000004,2.3000000000000003,0.8056127224956874,3.02444444,1.791,5 mean
12,2.4000000000000004,4.2,1.3660731527436274,3.02444444,2.985,5 mean
13,1.8,5.6000000000000005,1.875767892530127,3.02444444,4.179,5 mean
14,5.0,5.800000000000001,2.0211750964839523,3.02444444,5.373,5 mean
15,4.2,3.7,3.1031887084645255,4.23422222,0.597,5 mean
16,4.7,1.4000000000000001,0.6081364487857376,4.23422222,1.791,5 mean
17,3.3000000000000003,2.5,1.0526139635886123,4.23422222,2.985,5 mean
18,3.6,3.6,0.8587658728324787,4.23422222,4.179,5 mean
19,3.3000000000000003,4.0,1.6606926736581122,4.23422222,5.373,5 mean
20,6.9,3.9000000000000004,3.6096738079776687,5.444,0.597,5 mean
21,6.5,0.30000000000000004,1.8270788160339444,5.444,1.791,5 mean
22,5.6000000000000005,3.6,0.6344769499359298,5.444,2.985,5 mean
23,5.4,3.8000000000000003,0.38154554118741835,5.444,4.179,5 mean
24,6.0,4.3,1.208497000410014,5.444,5.373,5 mean
